field_id,n_observations,mean_ET,std_ET,cv_percent,trend_coefficient,trend_percent_per_period,trend_direction,persistence_lag1,persistence_class,anomaly_score,anomaly_status,forecast_mean_ET,forecast_trend,forecast_uncertainty,min_ET,max_ET,range_ET
80,100,59.01448275862068,31.923074966846197,54.0936283342803,-0.013584117032392923,-0.023018276865958958,stable,0.027562759420564933,low,0.3760872685803055,normal,49.39506,-0.9757486089959809,8.590383,11.379310344827585,154.44827586206895,143.06896551724137
81,100,63.90392857142856,31.99091376700514,50.06095005762803,-0.015177017701770703,-0.023749741277340412,stable,0.008070818860608384,low,0.38605827994807285,normal,57.762623,-0.5135524189555546,6.0691304,12.071428571428571,156.42857142857142,144.35714285714283
82,100,54.563076923076935,27.922713241963063,51.17510744734671,-0.25568464538761526,-0.46860378814061315,stable,0.09005291685833211,low,0.3820848662304317,normal,38.718845,-0.3391798326185506,6.536722,12.576923076923077,147.15384615384616,134.5769230769231
83,100,50.05574468085106,22.597783652044473,45.145235169559484,-0.041257572565767335,-0.0824232519740147,stable,-0.05268452656491937,low,0.19100912926621857,normal,43.21161,-0.12446446185345196,6.246598,10.297872340425531,114.29787234042553,104.0
84,100,58.61931034482758,28.325378812982002,48.32090081981212,-0.04491635370433666,-0.07662381805605797,stable,-0.06776758942537277,low,0.1548629500456142,normal,55.761402,1.3223392980082076,8.281556,13.03448275862069,132.24137931034483,119.20689655172413
85,100,65.74866666666667,36.31640444145807,55.2351953014886,-0.11952275227522836,-0.18178734008582437,stable,-0.07768349938208614,low,0.3175424488563989,normal,56.377228,-0.9497304796338867,8.68704,11.866666666666667,158.9,147.03333333333333
86,100,52.34714285714284,24.21619149685278,46.260770263889285,-0.11796879687968807,-0.22535861642273197,stable,-0.03857818553394475,low,0.2550979166481579,normal,44.56607,0.0342176077249189,6.898819,12.678571428571429,127.78571428571429,115.10714285714286
87,100,55.990645161290324,30.407916056464348,54.30892244386417,-0.048148621313744915,-0.08599404628227597,stable,-0.04378148022119952,low,0.21663501512588237,normal,48.984974,-0.11625754082952983,6.996716,9.129032258064516,153.96774193548387,144.83870967741936
88,100,74.64857142857143,44.113209738913675,59.09451298893783,-0.12607089280356654,-0.1688858746937968,stable,0.14879419363647398,low,0.19119637324521338,normal,55.639816,2.9124312967687236,15.765152,15.428571428571429,193.0,177.57142857142858
89,100,58.29870967741935,31.238972371015766,53.584328956624326,-0.10041946130096918,-0.17224988658687987,stable,0.10471189881134785,low,0.17555614452527415,normal,66.42663,2.6929814798848644,6.4375396,9.193548387096774,126.03225806451613,116.83870967741936
90,100,65.90285714285716,38.01624722485407,57.68527932324166,-0.08049719257640059,-0.12214522414697043,stable,0.09524513586344296,low,0.14024079073073353,normal,70.13854,3.9125723371972576,6.443367,9.857142857142858,148.0,138.14285714285714
91,100,79.00666666666666,48.217870246529046,61.03012857125438,-0.06838183818381859,-0.08655198487530831,stable,0.07453168489850236,low,0.02217366012227851,normal,64.366684,5.074318492329204,14.511077,11.75,197.33333333333334,185.58333333333334
92,100,78.635,47.05225047752764,59.83626944430297,-0.10181218121812215,-0.1294743831857597,stable,0.11993036525990498,low,0.1357002042452679,normal,54.599636,2.194138106766282,13.270428,12.5,201.0,188.5
