field_id,n_observations,years_covered,mean_ET,std_ET,cv_percent,trend_coefficient,trend_percent_per_period,trend_direction,persistence_lag1,persistence_class,yearly_variability,yearly_cv_percent,min_ET,max_ET,range_ET
92,100,25,78.635,47.05225047752764,59.83626944430297,-0.10181218121812234,-0.12947438318575993,stable,0.119930365259905,low,22.988554761010967,29.234507230890785,12.5,201.0,188.5
93,100,25,73.82400000000001,44.711048120123515,60.56438031009361,-0.10551935193519338,-0.14293366917966158,stable,0.10943995648276512,low,21.224293250895307,28.749855400540884,11.8,179.6,167.79999999999998
94,100,25,73.97,43.974186746317436,59.44867749941521,-0.12727572757275782,-0.17206398211809898,stable,0.16176315555592727,low,22.88708608309498,30.941038371089608,16.0,191.625,175.625
95,100,25,57.80142857142856,31.549914421437027,54.58327795903691,-0.041912476961982095,-0.07251114375173,stable,0.1255975488018596,low,15.540175320104717,26.885451976158038,10.142857142857142,130.0,119.85714285714286
96,100,25,66.75,37.08952558557827,55.56483233794498,-0.08980712356950016,-0.13454250722022496,stable,0.13583181192529992,low,18.726192197953484,28.054220521278626,13.035714285714286,145.96428571428572,132.92857142857144
97,100,25,78.684,46.54710457160574,59.15701358803028,-0.10747794779477954,-0.13659441283460366,stable,0.10899228027649308,low,22.302209397277213,28.344020890240984,11.4,200.0,188.6
98,100,25,70.33800000000001,41.96679349199793,59.664467986007466,-0.12419921992199223,-0.17657485274246099,stable,0.11930394599501468,low,20.557943866058203,29.227364818530816,11.8,177.2,165.39999999999998
99,100,25,72.98,45.12205225829162,61.82796966058045,-0.1675247524752478,-0.22954885239140557,stable,0.17378021490921014,low,23.999054148028417,32.88442607293562,14.0,200.0,186.0
100,100,25,77.07285714285713,46.32150509961737,60.10093152996638,-0.11817410312459833,-0.15332778296457683,stable,0.11911558649220705,low,22.717452003035113,29.475294993836222,13.857142857142858,199.85714285714286,186.0
101,100,25,73.84,45.56258772282364,61.70447958128879,-0.1501530153015312,-0.20334915398365544,stable,0.16619167202678242,low,24.02466232853232,32.536108245574646,15.0,199.5,184.5
102,100,25,53.69940425531915,25.265304943117528,47.049506960991835,-0.006747151310876397,-0.01256466697246099,stable,-0.044171868014479886,low,8.700033913339352,16.201360208716984,14.676595744680851,107.18297872340426,92.50638297872341
103,100,25,58.958888888888886,32.50706155002762,55.13513256888013,-0.1243090975764243,-0.2108402989253941,stable,-0.054118031470782695,low,10.402848968752101,17.644241885827963,8.11111111111111,160.55555555555554,152.44444444444443
104,100,25,61.38999999999999,34.14419765250508,55.6185008185455,-0.04867186718671879,-0.07928305454751391,stable,-0.0420541998505148,low,11.574712799412731,18.854394525839275,8.166666666666666,168.66666666666666,160.5
105,100,25,62.191111111111105,31.83895075509218,51.19533995494705,-0.02478114478114534,-0.03984676320844495,stable,-0.0281308193695991,low,10.529163848949484,16.930335639345632,11.0,152.55555555555554,141.55555555555554
106,100,25,58.40083333333333,30.520122449059006,52.259737930210484,0.00862836283628344,0.014774383076069306,stable,-0.042876177222962275,low,10.13022204155028,17.346023101640007,8.75,155.66666666666666,146.91666666666666
107,100,25,54.20099999999999,25.98805300517913,47.947552637735704,0.013146714671466749,0.02425548361001965,stable,-0.007592772901243105,low,9.53033965816539,17.583328090192783,10.5,132.2,121.69999999999999
108,100,25,59.71153846153846,29.511510892326896,49.423464296328454,0.04822774585150806,0.08076788355163991,stable,-0.05661448413404511,low,9.64047342253745,16.145076263186713,11.76923076923077,157.92307692307693,146.15384615384616
109,100,25,58.11428571428571,28.489889004876872,49.02389946758558,0.006051176546225725,0.010412545679346137,stable,-0.050902994313052265,low,9.623993453863111,16.56046071215383,15.214285714285714,166.0,150.78571428571428
110,100,25,53.147777777777776,27.929700351568307,52.551021922964225,0.01760909424275741,0.03313232458445355,stable,-0.044705006752555974,low,9.868755159343134,18.568518895759876,16.444444444444443,170.88888888888889,154.44444444444446
